wallet_provider,wallet_id,balance,monthly_transactions,average_transaction,top_up_frequency,duitnow_qr_usage,user_id
GrabPay,c54f2271-b9f2-464e-a9ea-1cc5c7cc008d,268.48,28,44.12,1,14,cbc5ed05-49b6-494c-b155-a5ad0e373ca4
Touch n Go eWallet,d18d7072-4a36-466a-9af1-fbf8ad53c6e1,162.26,11,21.48,1,3,cbc5ed05-49b6-494c-b155-a5ad0e373ca4
GoPayz,5c8143a7-e069-4b0e-b591-768a61c06490,196.82,16,94.72,1,6,cbc5ed05-49b6-494c-b155-a5ad0e373ca4
MAE,3b88da83-a89b-40a1-b3b4-4f746f3abda9,235.19,19,25.25,2,11,cbc5ed05-49b6-494c-b155-a5ad0e373ca4
GoPayz,4c6a18f0-73a1-4fe4-9517-d41e0e33dc39,34.04,27,92.95,1,15,02b5475a-f1c0-4d22-9029-7361e72ff563
Touch n Go eWallet,2c977556-1fed-4941-aa3a-24a5453fdf58,304.56,30,59.99,4,15,02b5475a-f1c0-4d22-9029-7361e72ff563
ShopeePay,4b4125a0-c0ae-4cba-87f6-dceb9146a25c,481.14,8,84.74,6,13,02b5475a-f1c0-4d22-9029-7361e72ff563
GoPayz,e9eaf753-a8e9-452a-a01e-bd529f742f9a,318.48,28,15.76,1,6,9f947189-787b-4076-a02f-1e8580cbc9eb
ShopeePay,2c6d5417-6512-40bc-bf19-7281349dcaa0,176.97,27,32.69,4,14,9f947189-787b-4076-a02f-1e8580cbc9eb
Touch n Go eWallet,6555d2d4-cb91-45ff-a30c-f4ba39913956,94.4,29,74.41,3,3,9f947189-787b-4076-a02f-1e8580cbc9eb
GrabPay,31b88fbd-6e46-4644-945d-c70849f995aa,236.13,8,12.13,3,4,9f947189-787b-4076-a02f-1e8580cbc9eb
GrabPay,1ea6dc8f-a673-4e98-b606-0f4a9e4348ab,295.03,7,95.96,5,15,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5
GoPayz,97af8972-c1ed-41ce-b06a-b2efd98434d0,421.11,30,88.56,3,11,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5
GrabPay,5d146a74-899b-4f2b-ad79-b8cf7bfbbd46,256.59,26,61.25,6,10,1b9c35ae-91e1-4488-b849-c3350010eb35
Touch n Go eWallet,8300b152-30e7-47bb-988f-08a9529bb544,187.11,19,39.8,2,15,1b9c35ae-91e1-4488-b849-c3350010eb35
Boost,51bc889a-40cf-45aa-9e2f-8cf206216b98,369.87,27,46.96,8,13,1b9c35ae-91e1-4488-b849-c3350010eb35
GrabPay,e3583348-7f68-4a53-afb2-3081ae9a60d9,313.52,5,35.83,7,5,fc321b67-d4d4-407a-a3c0-314f7c19c74f
MAE,e42dde72-e87f-46ef-9d98-a92cb1b3e35a,316.65,19,77.34,2,14,fc321b67-d4d4-407a-a3c0-314f7c19c74f
MAE,2ec37bfe-6481-4d1d-9c25-bdbd29bee77b,495.28,10,24.84,6,10,37772836-3143-4eb7-8148-8c75006b293a
GrabPay,8143f8e0-4ccf-48a3-9c86-5b00a28d8130,306.83,19,32.96,6,14,37772836-3143-4eb7-8148-8c75006b293a
GoPayz,feca1ac4-182e-41eb-9452-4613d3f7fac2,220.94,19,88.04,3,6,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a
MAE,e7fd7db9-4efb-4b30-bd32-1bc8b6675929,436.1,15,79.92,4,14,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a
Boost,868e0874-4c6c-4c25-ba55-fe1a97d1f3b8,444.67,27,75.88,2,11,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a
Touch n Go eWallet,eb54dd06-b7fa-46f0-8c48-a62c3c6946d6,417.6,10,44.3,4,11,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a
MAE,1881027b-9664-47a4-ad26-4d0b5bd9f3fe,232.46,15,83.78,5,14,50fe6fe4-dd5e-4c43-adaa-2aebb1b5f12c
ShopeePay,a2fbc6da-482f-4dc8-b3ba-cec8325e11c8,477.36,7,82.9,6,14,50fe6fe4-dd5e-4c43-adaa-2aebb1b5f12c
MAE,664f4fe5-0655-466c-8c74-db793a1844df,10.12,11,48.6,4,5,c7e7d387-6503-410a-ad22-6caea1e575ec
ShopeePay,01737463-5e8f-417f-8553-14263d1db981,231.65,28,96.14,3,5,c7e7d387-6503-410a-ad22-6caea1e575ec
GoPayz,eb5eb637-76f4-4db1-96dc-ae4c9534000e,59.19,13,80.11,2,7,c7e7d387-6503-410a-ad22-6caea1e575ec
Touch n Go eWallet,2b4966f0-3d4e-4133-9df5-3c39d5cc5546,492.98,8,33.05,6,13,c7e7d387-6503-410a-ad22-6caea1e575ec
Touch n Go eWallet,d73d61a4-0f4b-462a-8501-a926eb572305,37.11,10,69.1,6,14,5b29a7ab-83cc-4e1e-ab1e-620f8d55ce74
Boost,68118766-4aa2-4a10-bcb4-2eaa9735f9e1,445.17,26,75.52,8,14,5b29a7ab-83cc-4e1e-ab1e-620f8d55ce74
GrabPay,2f599abc-c225-428e-b69b-141bdde0a0e0,289.63,27,39.58,3,10,5b29a7ab-83cc-4e1e-ab1e-620f8d55ce74
ShopeePay,ead6fee2-fa9e-487a-a03b-877968387f7b,380.43,10,26.86,8,14,b9a7f478-471f-42e0-b50e-7595bd82a0e2
GoPayz,ec53e28c-a41f-4196-95d3-90dcc657055a,156.42,20,77.76,4,15,b9a7f478-471f-42e0-b50e-7595bd82a0e2
MAE,81145495-94e6-4e74-8c19-98b3b9f10d5e,104.6,7,20.66,7,12,b9a7f478-471f-42e0-b50e-7595bd82a0e2
ShopeePay,ea384e8b-50ed-4a4e-957a-2eb93bb6c0b7,77.91,16,50.95,3,11,63c51978-7f82-464f-8fac-82dda3063c62
GrabPay,ed81e687-e3ff-4bcb-966f-da31b83f5a21,83.03,6,60.28,5,11,63c51978-7f82-464f-8fac-82dda3063c62
MAE,01c3d068-4169-48f9-a79c-3308d9c26e67,283.29,23,59.02,1,13,63c51978-7f82-464f-8fac-82dda3063c62
GoPayz,16c24924-c632-4a9f-9950-522beffa4f28,17.19,15,69.33,3,14,63c51978-7f82-464f-8fac-82dda3063c62
Boost,213e89c0-6833-4734-bb22-5e070011760a,53.86,16,51.26,4,10,fcb600d7-a846-457c-93e8-453f494ef2b0
ShopeePay,5d231c66-133f-464b-a34f-8116ca2aff4b,66.28,19,87.45,8,11,fcb600d7-a846-457c-93e8-453f494ef2b0
MAE,282b92de-0071-4864-a6b5-4ee6b9f66c93,69.95,19,96.26,5,7,fcb600d7-a846-457c-93e8-453f494ef2b0
Boost,0836ae30-42e2-4742-95ec-e88371983323,347.81,22,37.76,5,9,ca1dfbe7-a09b-4a13-9208-b61c6dd73440
MAE,941861a6-f74d-43c9-b6b2-d2f397ca75f2,340.07,7,20.38,3,11,ca1dfbe7-a09b-4a13-9208-b61c6dd73440
GrabPay,0f221522-00c7-4279-ad81-91295e1b702c,78.07,22,52.44,1,8,06522faf-a3ca-4828-a17f-93f51e59eab6
MAE,a9be50cc-7f52-4c4c-ab3b-10e4c00694a1,285.55,21,41.63,1,9,06522faf-a3ca-4828-a17f-93f51e59eab6
GoPayz,70cad233-4f35-4650-8b6c-cd025bbd5683,461.97,11,57.15,3,5,06522faf-a3ca-4828-a17f-93f51e59eab6
GoPayz,a527575d-b1e2-4408-b6bc-9c3dfc6c5d02,75.91,30,78.84,7,12,b764a8d4-4f1b-4d00-b647-3f7459fd7198
MAE,fba769da-f59e-4adb-a172-0689069a24ef,438.01,5,13.68,1,5,b764a8d4-4f1b-4d00-b647-3f7459fd7198
Touch n Go eWallet,e1b25555-b848-4e17-838a-576eb3209b40,68.89,17,46.7,2,4,b764a8d4-4f1b-4d00-b647-3f7459fd7198
ShopeePay,b3ce2813-2753-46ca-a359-a55ff5101685,249.01,18,62.23,5,10,b764a8d4-4f1b-4d00-b647-3f7459fd7198
MAE,bc1c6a1e-3f4c-4770-b48c-64f314a8d06d,422.11,15,82.15,3,12,de9b13db-ce86-47df-ad77-91751860db05
Touch n Go eWallet,5a83d47e-e6d2-4f94-b6eb-35be0f1c8485,311.76,5,24.06,7,12,de9b13db-ce86-47df-ad77-91751860db05
Boost,7ac74606-0a8a-466c-8456-5b08b79eef4b,334.87,9,65.17,4,4,de9b13db-ce86-47df-ad77-91751860db05
GoPayz,b88667a5-eef6-4dc7-9319-bae6a9b21cc8,284.0,27,28.47,1,6,de9b13db-ce86-47df-ad77-91751860db05
Boost,3332ed9c-a8ce-44c1-9a62-94bd5a02956a,179.71,20,13.75,1,10,3129eaa4-63a8-421d-88b0-f916bdad7a9b
GoPayz,532a6610-0d2f-4b4b-9356-a671d7d3911f,294.8,10,27.06,7,8,3129eaa4-63a8-421d-88b0-f916bdad7a9b
Touch n Go eWallet,f442c6e2-6414-47c0-ab28-3c75e9054e53,274.01,13,77.54,2,3,95721145-65e4-485b-92b2-e6e1af1438d0
GoPayz,f62fd793-7337-4c9d-a3cd-209c0a63b68d,267.44,29,16.19,8,15,95721145-65e4-485b-92b2-e6e1af1438d0
Touch n Go eWallet,3093ec5f-0f37-4a71-b3b6-a0e491c8354e,194.03,10,78.0,2,13,b528fbcd-b861-4d50-b9d3-cf8d84c1d535
ShopeePay,e6dfaf1a-c60c-4bde-8d52-b12fa057d7d1,294.12,11,79.74,5,5,b528fbcd-b861-4d50-b9d3-cf8d84c1d535
Boost,ed82c37d-c9c2-49bc-8c24-44e5b0c3329f,375.87,13,82.19,1,9,b528fbcd-b861-4d50-b9d3-cf8d84c1d535
MAE,bb29af0e-d9c8-4319-862f-ccb10af5fd44,131.94,23,39.52,3,10,b528fbcd-b861-4d50-b9d3-cf8d84c1d535
ShopeePay,c418d926-7e0d-48d8-8cbc-cfed084bc75a,348.54,29,50.55,6,10,aabf4648-e06d-4320-8f6a-14811e78ae9b
GoPayz,ec77ab69-cb1e-42d8-8cd1-d7895da6ba18,216.3,30,32.71,5,14,aabf4648-e06d-4320-8f6a-14811e78ae9b
GoPayz,853eecd8-ecc3-4979-aebd-5b0d85451d09,393.15,28,26.77,3,11,2477582e-6290-46c7-9910-6de62c204ce3
ShopeePay,cbd718ae-7d70-44b7-bf34-56f465c68387,350.97,26,11.1,5,15,2477582e-6290-46c7-9910-6de62c204ce3
MAE,619bfe02-5043-4f30-a2fb-b324b4777bbc,50.08,10,97.56,7,8,92aff663-3e08-42e7-9fb0-3e0e569a7971
Touch n Go eWallet,7a0d90b5-33ec-4d03-9baa-f0ed7dabe8a9,218.59,8,84.41,5,12,92aff663-3e08-42e7-9fb0-3e0e569a7971
GoPayz,109c7c95-42db-4c20-9fe3-03f8c7f17b1a,341.74,22,78.41,4,15,92aff663-3e08-42e7-9fb0-3e0e569a7971
Touch n Go eWallet,91efbe40-341a-4308-9a17-2fc61a54f3a8,263.13,7,53.93,7,9,66be52f7-5124-4147-b6cd-b0dc78806642
GrabPay,18ba6d11-e2a7-490c-9e01-52d756c3a90c,465.28,23,94.11,8,4,66be52f7-5124-4147-b6cd-b0dc78806642
ShopeePay,34a19d39-0ad2-4004-b328-4f11eb4ca854,357.85,5,37.27,2,11,66be52f7-5124-4147-b6cd-b0dc78806642
Boost,d672a0c3-be69-4e55-8df7-ff85b8e391c9,250.37,17,19.48,4,10,1dc47704-2763-4e7f-b544-5a9353871373
MAE,45f90f57-84e0-45d5-8a7c-abb6483bdccb,83.13,5,89.45,7,3,1dc47704-2763-4e7f-b544-5a9353871373
ShopeePay,0801aec9-e704-4d72-b018-48bf3998d472,276.51,23,95.32,2,14,1dc47704-2763-4e7f-b544-5a9353871373
Boost,4a1f4722-1ebd-4548-9987-95eccb355233,374.49,29,13.27,8,4,a2cfd8a9-79ac-4254-ad64-0d542e5fe9df
Touch n Go eWallet,514691b3-95aa-42b7-ae00-14f4c59f42d6,389.94,28,94.13,5,5,a2cfd8a9-79ac-4254-ad64-0d542e5fe9df
GrabPay,5bb42f2b-4715-4fee-901d-99663cd6e223,58.68,7,35.66,3,6,a2cfd8a9-79ac-4254-ad64-0d542e5fe9df
GoPayz,7f8b75f6-4b6f-49c2-b0b0-4a2c1b46174f,472.15,25,77.4,1,5,a2cfd8a9-79ac-4254-ad64-0d542e5fe9df
MAE,6ee5f0e8-851e-408b-b866-8ca5815bdaa6,14.25,6,59.65,1,14,4f0e5664-bc75-4ee7-9f01-3946d8c2017d
Boost,dcd644e6-7ba3-43f7-8b7f-cdf09fdd5df8,302.62,6,99.92,4,8,4f0e5664-bc75-4ee7-9f01-3946d8c2017d
Touch n Go eWallet,381c4402-e704-412e-b88b-f381156b601d,87.32,13,82.2,7,12,4f0e5664-bc75-4ee7-9f01-3946d8c2017d
MAE,e55cc0a8-c796-41d6-b828-97e76dd75cd5,38.73,19,15.2,5,10,57060cfb-269d-4474-a61f-14916403acdc
GrabPay,e953d8f3-015b-4522-8da0-76e670dc5d40,162.84,19,87.13,5,4,57060cfb-269d-4474-a61f-14916403acdc
Touch n Go eWallet,54c801ed-e546-40b6-8b76-fd2d783c897f,21.45,16,56.35,7,6,57060cfb-269d-4474-a61f-14916403acdc
ShopeePay,b25df86b-e012-469c-84a4-a99b712ab13b,313.98,23,18.3,4,4,57060cfb-269d-4474-a61f-14916403acdc
Touch n Go eWallet,099dc561-bf99-4242-876a-cd65ad31601f,145.36,25,57.33,4,12,52bf6b78-f9e3-472f-9b9f-434c833b6eda
Boost,1346f77a-dd0c-4c95-8a10-c06b58b887ed,358.02,25,97.99,6,6,52bf6b78-f9e3-472f-9b9f-434c833b6eda
GoPayz,8707f38b-c72d-4b27-9c10-7351fd1508bc,478.18,12,67.91,8,15,52bf6b78-f9e3-472f-9b9f-434c833b6eda
MAE,a61ede6d-9956-4f13-b2f9-f5ecacbedd5c,46.93,25,76.26,4,9,52bf6b78-f9e3-472f-9b9f-434c833b6eda
GoPayz,8956a59a-ed66-438f-a99f-7dd0456d3620,336.5,9,20.99,3,14,f2d768cd-02f0-4b29-8967-a03778874059
ShopeePay,d499493f-1799-4dfd-ab58-5f68f5c5a133,26.33,18,59.32,3,8,f2d768cd-02f0-4b29-8967-a03778874059
MAE,59fc152e-43f7-4ff7-a43f-5782e7bf679e,380.4,18,71.33,8,6,e3eca34f-db2f-4130-ab49-a59d84aeb95b
Boost,5ef14c27-514b-4b7b-b339-c7e5433a152a,298.59,13,36.19,2,13,e3eca34f-db2f-4130-ab49-a59d84aeb95b
ShopeePay,68d8d9eb-6db8-483f-8591-d4fbb161f48b,405.96,20,40.63,2,9,e3eca34f-db2f-4130-ab49-a59d84aeb95b
GoPayz,493269c2-d1cd-4eec-839a-ceb45984f470,482.2,22,28.01,1,15,e3eca34f-db2f-4130-ab49-a59d84aeb95b
GoPayz,7e643a88-3b08-46ad-b614-2236f8349850,280.93,25,92.48,6,11,04d4748a-61b2-467b-a308-248d59fac863
MAE,ef0ee13e-168b-4769-a3bd-a74b28d1acd3,157.78,23,14.76,3,9,04d4748a-61b2-467b-a308-248d59fac863
ShopeePay,eb230bf9-af82-4664-b806-152c6a6d76b6,240.49,28,63.59,7,13,04d4748a-61b2-467b-a308-248d59fac863
GrabPay,15e1dd2e-50e7-4f7f-96d2-a443153e73a0,353.26,13,93.19,7,9,04d4748a-61b2-467b-a308-248d59fac863
ShopeePay,d868afd3-59aa-4349-9dee-3ff0602fd775,332.85,25,21.16,6,4,f613920e-c334-485a-9b84-adec2ea9553f
Touch n Go eWallet,3c51a2b7-61df-402f-a43b-e0f1bcdab9f5,320.94,18,59.75,8,14,f613920e-c334-485a-9b84-adec2ea9553f
MAE,2bd85140-9522-475e-9f36-5c50b603222d,416.57,30,83.95,1,6,f613920e-c334-485a-9b84-adec2ea9553f
MAE,314b47bf-1e5f-41cb-811b-62b82b794b3c,394.65,29,61.12,3,4,3ed98d8a-bc7c-43ed-98e4-04cfbea076f6
GoPayz,a20c373e-5cb8-4181-9e88-79ce943fa6dd,231.4,26,59.19,4,7,3ed98d8a-bc7c-43ed-98e4-04cfbea076f6
ShopeePay,2ced6e5f-84c9-4ef2-b5a2-37cef2e2c427,288.06,27,68.77,8,5,3ed98d8a-bc7c-43ed-98e4-04cfbea076f6
ShopeePay,172eb291-3379-41ec-acdc-ad472cbdab52,364.83,30,38.5,6,12,b1b3b88f-d9f0-4860-8d7b-8ec657d69c35
GoPayz,1be8571d-e1bf-49ca-95bf-1a368a3ba1a9,125.27,19,85.16,7,3,b1b3b88f-d9f0-4860-8d7b-8ec657d69c35
GrabPay,1fe2367f-5f54-4fc4-b46a-6892dd31cfca,235.08,22,80.23,4,9,b1b3b88f-d9f0-4860-8d7b-8ec657d69c35
ShopeePay,1b0a9e0a-ac8d-4f74-bd2b-ebc0acf04caf,478.73,7,17.16,7,13,5609a9c1-3e75-4663-b4de-7ecd513fb05f
GrabPay,60a21302-21a2-4815-9ec6-ae306ec427e0,137.52,9,35.04,8,3,5609a9c1-3e75-4663-b4de-7ecd513fb05f
GoPayz,1931d725-de50-4bc1-b288-a65558869acf,415.48,29,67.79,6,5,5609a9c1-3e75-4663-b4de-7ecd513fb05f
ShopeePay,f2ea7b75-dae6-41da-bff0-3c4a335eead2,153.84,29,92.05,7,14,b89aa97c-ac26-42bf-9aea-0765014c1a92
Touch n Go eWallet,0b604719-623d-412f-a7fa-3d06e66b63ab,180.33,6,43.4,8,4,b89aa97c-ac26-42bf-9aea-0765014c1a92
MAE,8d35164f-e82b-493c-afe2-5146b4a8fc83,493.95,17,74.04,7,4,b89aa97c-ac26-42bf-9aea-0765014c1a92
ShopeePay,9609aec7-d4b6-4302-877d-192c2aa5ec63,126.08,14,82.88,5,12,2df4dbf3-136e-40da-81ba-b733c9d1482e
Boost,4a0dcdfc-b3a9-4eb7-9bcb-d534ba725cbe,39.34,8,86.33,7,14,2df4dbf3-136e-40da-81ba-b733c9d1482e
GrabPay,d1851b70-e088-4bd8-8c99-7094e1d5fe3f,313.38,15,51.33,8,9,2df4dbf3-136e-40da-81ba-b733c9d1482e
GoPayz,454d62cb-7446-403e-ad26-106d8f5f6630,365.73,24,23.32,7,5,2df4dbf3-136e-40da-81ba-b733c9d1482e
ShopeePay,45adad88-94d7-4ad1-9d22-63887aa8a39d,450.22,26,59.21,2,10,15cc9289-81c4-4c72-9555-a6f25e29aea9
Touch n Go eWallet,2f6d3a28-bfb1-4c81-a6b2-7200e43dc9f3,444.05,23,54.69,3,7,15cc9289-81c4-4c72-9555-a6f25e29aea9
GoPayz,416ed475-bd54-40e1-8c8d-a8c32c66ed32,379.37,20,70.26,8,6,15cc9289-81c4-4c72-9555-a6f25e29aea9
Boost,afc30ef4-c238-4cf1-9ccb-56b883343f7c,31.45,30,16.54,5,14,15cc9289-81c4-4c72-9555-a6f25e29aea9
ShopeePay,bb36cb1b-cead-4279-902a-60fc74a1777e,209.25,11,80.66,1,3,48e7a010-a6e1-4fcd-b33b-b9f13d94e549
Touch n Go eWallet,6d8dec33-7f75-469d-b064-b2a01b1b4a15,375.64,11,61.14,2,6,48e7a010-a6e1-4fcd-b33b-b9f13d94e549
Touch n Go eWallet,35ee65c5-2329-41a1-b574-bb588d532e75,467.11,11,83.72,8,8,f0f03257-5393-4879-a5fe-e016ba11d379
GoPayz,4b3d7de0-6dd9-4f0d-9ae0-c5938c267345,273.97,27,50.75,1,12,f0f03257-5393-4879-a5fe-e016ba11d379
GoPayz,834a372f-c54e-4a4b-a94a-8f0b7a756025,403.48,13,12.7,6,3,e0ac2b79-0f59-44e6-a6da-1096117aef7a
Boost,cb99cfa9-485c-4379-86ab-81fafe6bac4e,478.03,16,61.84,6,8,e0ac2b79-0f59-44e6-a6da-1096117aef7a
Touch n Go eWallet,1d53632e-c8f3-4471-8e94-5d9e944ce111,415.53,11,28.33,7,9,e0ac2b79-0f59-44e6-a6da-1096117aef7a
Boost,924ae549-5afd-46c7-9fb2-952d686dbf65,228.63,21,54.5,8,6,04879676-a911-421f-830e-184d985a996c
Touch n Go eWallet,997a6ff8-6426-4609-9daa-fa094aafaf38,291.89,10,92.61,7,6,04879676-a911-421f-830e-184d985a996c
MAE,dd32097d-d0b3-4bb2-89c7-c3ea6e5b8cad,130.32,18,12.51,6,13,04879676-a911-421f-830e-184d985a996c
MAE,11dfbf1c-9d72-43c2-b12d-d5f210ac6039,489.78,17,34.58,7,9,cf0704df-7de3-40d0-a88d-cc5397abf01a
Boost,4d8595e7-60af-4e67-9667-4d0de765d58d,383.15,6,78.65,8,15,cf0704df-7de3-40d0-a88d-cc5397abf01a
GoPayz,55e8244f-43da-410d-a4bb-45e6102f4b56,47.58,20,96.91,5,3,cf0704df-7de3-40d0-a88d-cc5397abf01a
ShopeePay,6019eba1-94e2-4fc4-93fb-895a0f21f910,443.88,17,50.98,4,10,cf0704df-7de3-40d0-a88d-cc5397abf01a
MAE,1d9da1f2-e146-4fba-9058-dffe968c1877,492.72,29,28.54,2,12,adfba363-d923-46bf-8fcd-192777b8e859
Touch n Go eWallet,2b352b24-45ca-49b1-8b7a-bbed12935841,425.55,5,66.02,6,10,adfba363-d923-46bf-8fcd-192777b8e859
GoPayz,141ea228-143c-49e3-a22d-0ebac71bec5d,380.87,19,99.02,1,4,60588eb7-2f1c-435f-9c62-3e8c73de669f
GrabPay,594fb2f7-4ce9-4c52-ab71-11ab926a8c67,392.96,20,83.65,7,9,60588eb7-2f1c-435f-9c62-3e8c73de669f
GrabPay,d4503856-aff3-4fda-af50-62937cf18b94,375.93,23,72.74,7,4,8177c5b5-6208-401e-8b35-f2b281c0f2dd
ShopeePay,e61cae08-11a0-466a-b006-617c6b8f6fef,424.02,16,19.36,4,4,8177c5b5-6208-401e-8b35-f2b281c0f2dd
GoPayz,15f9ba42-a469-46eb-b020-496bec2dc231,431.22,19,39.84,2,11,8177c5b5-6208-401e-8b35-f2b281c0f2dd
GrabPay,0ed88976-fd2d-41c9-bca7-708512510032,52.34,10,32.23,8,7,f50e30d7-99f1-436c-bd6b-71290b176d80
Touch n Go eWallet,2c251730-e191-408f-b684-3b4f39cb9282,55.65,7,91.88,4,10,f50e30d7-99f1-436c-bd6b-71290b176d80
GoPayz,0a86d760-0ff9-4db0-81ed-260206a283a2,488.42,24,31.87,8,13,f50e30d7-99f1-436c-bd6b-71290b176d80
MAE,c22be9a0-d872-4511-8132-a1c4037e0f26,15.92,7,59.32,2,6,f50e30d7-99f1-436c-bd6b-71290b176d80
Touch n Go eWallet,38f183d1-1e22-45c9-890d-9261d3a9597d,109.06,6,38.18,4,14,93b363d2-3eb5-48f7-8877-ea432c1d9760
GrabPay,f8ca238c-111d-446c-a7e2-b82cc02c3c67,206.25,19,48.69,5,12,93b363d2-3eb5-48f7-8877-ea432c1d9760
ShopeePay,63bb19c1-9687-46a4-8dcb-ab712bcaac9e,303.71,30,58.47,8,14,5fcfcd5d-34d9-4121-a7d6-24e358051988
GoPayz,160e058d-bb2b-4c20-a4dc-181643e6a61c,131.42,25,34.74,2,5,5fcfcd5d-34d9-4121-a7d6-24e358051988
Touch n Go eWallet,9d9c65d9-7e4e-4b26-9953-2e69942ff60d,40.77,29,34.38,5,12,99b1e5f0-9d05-4dc1-a051-1798765fd712
MAE,c1e20cc6-ab96-4b83-b4e0-147509ac4655,351.65,30,88.35,6,9,99b1e5f0-9d05-4dc1-a051-1798765fd712
ShopeePay,2eed17b5-cb9f-499a-8bcc-9323740258f6,393.33,9,74.56,6,6,5fb86dfb-25e6-4cea-af42-de04ddb9c76f
Touch n Go eWallet,233f2cc0-f43f-4863-b5f2-4d33b28bd089,385.66,21,48.97,3,7,5fb86dfb-25e6-4cea-af42-de04ddb9c76f
GrabPay,83371ee1-a1a7-4170-88d0-0180ccf8737f,251.19,17,46.62,2,11,5fb86dfb-25e6-4cea-af42-de04ddb9c76f
MAE,6d948a29-bd94-4a70-8a82-8d927cf7c3aa,230.55,30,92.98,8,9,5fb86dfb-25e6-4cea-af42-de04ddb9c76f
ShopeePay,f3cd969f-faa7-42ba-8793-6a281d892a7c,188.29,5,79.22,6,13,4c59ac1f-e127-4143-9471-522304033895
GrabPay,cc300912-9ae0-4ae6-86ef-9f3fa191497a,471.16,27,15.7,1,11,4c59ac1f-e127-4143-9471-522304033895
MAE,bbbac817-9887-46c8-bd03-1cfe448869c7,150.31,7,19.91,4,3,4c59ac1f-e127-4143-9471-522304033895
GoPayz,4b65d946-2fa3-4e24-95ae-3320fff1a737,442.12,9,12.36,2,7,6f1e71e4-92b7-4cf1-928c-5584418290b1
MAE,fcfa8bd0-7542-476b-a702-78f7618d700d,480.69,26,94.16,6,8,6f1e71e4-92b7-4cf1-928c-5584418290b1
ShopeePay,6ffa4787-6dd2-4d59-90ac-77a387401524,114.93,20,16.04,4,12,2bbc8655-e464-4e87-a411-f7a7108a84be
Touch n Go eWallet,48031d7f-4072-4403-b1de-ba8bb204547b,462.39,13,65.27,3,15,2bbc8655-e464-4e87-a411-f7a7108a84be
