provider,plan_details,user_id,payment_history
Digi,RM72 Monthly Plan,fcb600d7-a846-457c-93e8-453f494ef2b0,"[{""month"": ""2024-11"", ""amount"": 265.26, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 485.98, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 162.17, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 89.78, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 470.3, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 108.82, ""status"": ""Paid""}]"
Celcom,RM58 Monthly Plan,ca1dfbe7-a09b-4a13-9208-b61c6dd73440,"[{""month"": ""2024-11"", ""amount"": 193.01, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 413.36, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 62.71, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 71.49, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 199.3, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 480.98, ""status"": ""Paid""}]"
UMobile,RM132 Monthly Plan,06522faf-a3ca-4828-a17f-93f51e59eab6,"[{""month"": ""2024-11"", ""amount"": 196.0, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 434.7, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 457.82, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 155.86, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 277.62, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 260.41, ""status"": ""Paid""}]"
Celcom,RM40 Monthly Plan,b764a8d4-4f1b-4d00-b647-3f7459fd7198,"[{""month"": ""2024-11"", ""amount"": 435.45, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 422.7, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 446.79, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 167.92, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 361.95, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 180.68, ""status"": ""Paid""}]"
Maxis,RM98 Monthly Plan,de9b13db-ce86-47df-ad77-91751860db05,"[{""month"": ""2024-11"", ""amount"": 365.26, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 217.92, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 244.24, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 348.27, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 149.09, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 294.81, ""status"": ""Paid""}]"
Celcom,RM111 Monthly Plan,3129eaa4-63a8-421d-88b0-f916bdad7a9b,"[{""month"": ""2024-11"", ""amount"": 122.78, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 297.64, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 98.25, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 190.42, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 188.68, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 335.9, ""status"": ""Paid""}]"
UMobile,RM128 Monthly Plan,95721145-65e4-485b-92b2-e6e1af1438d0,"[{""month"": ""2024-11"", ""amount"": 103.36, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 440.9, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 277.04, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 221.11, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 271.11, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 271.6, ""status"": ""Paid""}]"
Digi,RM76 Monthly Plan,b528fbcd-b861-4d50-b9d3-cf8d84c1d535,"[{""month"": ""2024-11"", ""amount"": 226.54, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 170.63, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 320.31, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 280.02, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 350.92, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 175.32, ""status"": ""Paid""}]"
Digi,RM94 Monthly Plan,aabf4648-e06d-4320-8f6a-14811e78ae9b,"[{""month"": ""2024-11"", ""amount"": 412.29, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 216.89, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 235.55, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 120.82, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 267.69, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 296.89, ""status"": ""Paid""}]"
Digi,RM112 Monthly Plan,2477582e-6290-46c7-9910-6de62c204ce3,"[{""month"": ""2024-11"", ""amount"": 186.78, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 323.62, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 178.29, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 170.99, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 135.95, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 203.13, ""status"": ""Paid""}]"
Digi,RM107 Monthly Plan,92aff663-3e08-42e7-9fb0-3e0e569a7971,"[{""month"": ""2024-11"", ""amount"": 149.96, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 208.49, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 471.43, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 144.24, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 442.3, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 89.79, ""status"": ""Paid""}]"
Maxis,RM89 Monthly Plan,66be52f7-5124-4147-b6cd-b0dc78806642,"[{""month"": ""2024-11"", ""amount"": 243.05, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 243.89, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 285.95, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 133.5, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 230.96, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 184.4, ""status"": ""Paid""}]"
Maxis,RM123 Monthly Plan,1dc47704-2763-4e7f-b544-5a9353871373,"[{""month"": ""2024-11"", ""amount"": 245.08, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 385.1, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 354.02, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 436.43, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 110.01, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 454.82, ""status"": ""Paid""}]"
Digi,RM52 Monthly Plan,a2cfd8a9-79ac-4254-ad64-0d542e5fe9df,"[{""month"": ""2024-11"", ""amount"": 318.09, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 271.38, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 54.47, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 440.28, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 411.66, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 339.98, ""status"": ""Paid""}]"
Celcom,RM132 Monthly Plan,4f0e5664-bc75-4ee7-9f01-3946d8c2017d,"[{""month"": ""2024-11"", ""amount"": 152.79, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 245.39, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 125.9, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 66.97, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 326.23, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 475.76, ""status"": ""Paid""}]"
UMobile,RM106 Monthly Plan,57060cfb-269d-4474-a61f-14916403acdc,"[{""month"": ""2024-11"", ""amount"": 386.48, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 386.1, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 403.85, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 57.44, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 322.1, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 167.65, ""status"": ""Paid""}]"
Digi,RM143 Monthly Plan,52bf6b78-f9e3-472f-9b9f-434c833b6eda,"[{""month"": ""2024-11"", ""amount"": 351.78, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 422.03, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 423.78, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 310.56, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 425.89, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 353.55, ""status"": ""Paid""}]"
Celcom,RM32 Monthly Plan,f2d768cd-02f0-4b29-8967-a03778874059,"[{""month"": ""2024-11"", ""amount"": 119.16, ""status"": ""Late""}, {""month"": ""2024-10"", ""amount"": 114.5, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 327.08, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 276.72, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 477.43, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 108.72, ""status"": ""Paid""}]"
Celcom,RM53 Monthly Plan,e3eca34f-db2f-4130-ab49-a59d84aeb95b,"[{""month"": ""2024-11"", ""amount"": 209.75, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 324.74, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 251.21, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 484.81, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 85.51, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 137.2, ""status"": ""Paid""}]"
Digi,RM133 Monthly Plan,04d4748a-61b2-467b-a308-248d59fac863,"[{""month"": ""2024-11"", ""amount"": 377.3, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 401.44, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 209.28, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 227.23, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 197.08, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 122.24, ""status"": ""Paid""}]"
Digi,RM95 Monthly Plan,f613920e-c334-485a-9b84-adec2ea9553f,"[{""month"": ""2024-11"", ""amount"": 453.87, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 248.1, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 479.2, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 315.42, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 394.77, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 113.7, ""status"": ""Paid""}]"
UMobile,RM97 Monthly Plan,3ed98d8a-bc7c-43ed-98e4-04cfbea076f6,"[{""month"": ""2024-11"", ""amount"": 83.7, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 408.24, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 237.54, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 303.37, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 56.4, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 251.5, ""status"": ""Paid""}]"
Celcom,RM39 Monthly Plan,b1b3b88f-d9f0-4860-8d7b-8ec657d69c35,"[{""month"": ""2024-11"", ""amount"": 449.17, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 181.81, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 110.76, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 377.71, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 354.49, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 467.09, ""status"": ""Paid""}]"
Maxis,RM60 Monthly Plan,5609a9c1-3e75-4663-b4de-7ecd513fb05f,"[{""month"": ""2024-11"", ""amount"": 55.8, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 313.96, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 385.46, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 379.71, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 323.47, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 239.25, ""status"": ""Paid""}]"
Maxis,RM100 Monthly Plan,b89aa97c-ac26-42bf-9aea-0765014c1a92,"[{""month"": ""2024-11"", ""amount"": 216.69, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 433.61, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 313.21, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 233.99, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 152.28, ""status"": ""Pending""}, {""month"": ""2024-07"", ""amount"": 177.19, ""status"": ""Paid""}]"
UMobile,RM36 Monthly Plan,2df4dbf3-136e-40da-81ba-b733c9d1482e,"[{""month"": ""2024-11"", ""amount"": 459.3, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 409.14, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 250.63, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 269.15, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 67.98, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 262.9, ""status"": ""Paid""}]"
Maxis,RM47 Monthly Plan,15cc9289-81c4-4c72-9555-a6f25e29aea9,"[{""month"": ""2024-11"", ""amount"": 308.12, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 476.29, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 317.47, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 387.67, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 460.05, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 352.85, ""status"": ""Paid""}]"
Celcom,RM69 Monthly Plan,48e7a010-a6e1-4fcd-b33b-b9f13d94e549,"[{""month"": ""2024-11"", ""amount"": 210.45, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 411.21, ""status"": ""Pending""}, {""month"": ""2024-09"", ""amount"": 354.75, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 114.41, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 142.74, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 449.3, ""status"": ""Paid""}]"
Maxis,RM124 Monthly Plan,f0f03257-5393-4879-a5fe-e016ba11d379,"[{""month"": ""2024-11"", ""amount"": 431.72, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 275.15, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 147.25, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 247.56, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 482.07, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 490.33, ""status"": ""Paid""}]"
UMobile,RM125 Monthly Plan,e0ac2b79-0f59-44e6-a6da-1096117aef7a,"[{""month"": ""2024-11"", ""amount"": 380.6, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 156.96, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 372.41, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 100.56, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 429.47, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 243.25, ""status"": ""Paid""}]"
Celcom,RM77 Monthly Plan,04879676-a911-421f-830e-184d985a996c,"[{""month"": ""2024-11"", ""amount"": 350.32, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 193.81, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 417.85, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 233.74, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 50.96, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 476.11, ""status"": ""Paid""}]"
UMobile,RM35 Monthly Plan,cf0704df-7de3-40d0-a88d-cc5397abf01a,"[{""month"": ""2024-11"", ""amount"": 106.29, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 362.94, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 279.88, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 194.62, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 272.17, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 446.91, ""status"": ""Paid""}]"
